lang	lang_desc	denom	num	pct100str	pct100
pmd	Piedmontese	2204	224	10.2	10.163339382940109
wo	Wolof	2204	224	10.2	10.163339382940109
st	Sotho	2204	219	9.9	9.936479128856623
sga	Old Irish	2204	217	9.8	9.845735027223231
inh	Ingush	2204	216	9.8	9.800362976406534
pap	Papiamentu	2204	214	9.7	9.70961887477314
ilo	Ilocano	2204	212	9.6	9.618874773139746
orv	Old East Slavic	2204	210	9.5	9.528130671506352
dv	Dhivehi	2204	210	9.5	9.528130671506352
lij	Ligurian	2204	209	9.5	9.482758620689655
liv	Livonian	2204	202	9.2	9.165154264972777
kum	Kumyk	2204	201	9.1	9.11978221415608
mwl	Mirandese	2204	200	9.1	9.074410163339383
nah	Nahuatl	2204	198	9.0	8.98366606170599
hrx	Hunsrik	2204	197	8.9	8.938294010889292
unm	Unami	2204	195	8.8	8.847549909255898
nds-de	German Low German	2204	194	8.8	8.802177858439201
ady	West Circassian	2204	194	8.8	8.802177858439201
non	Old Norse	2204	190	8.6	8.620689655172415
mrw	Maranao	2204	188	8.5	8.52994555353902
esu	Yup'ik	2204	186	8.4	8.439201451905626
sms	Skolt Sami	2204	185	8.4	8.39382940108893
sd	Sindhi	2204	184	8.3	8.348457350272232
mhn	Mòcheno	2204	182	8.3	8.257713248638838
afb	Gulf Arabic	2204	181	8.2	8.212341197822141
rgn	Romagnol	2204	177	8.0	8.030852994555353
eppel	Elfdalian	2204	172	7.8	7.80399274047187
syl	Sylheti	2204	168	7.6	7.6225045372050815
ain	Ainu	2204	167	7.6	7.577132486388384
lez	Lezgi	2204	165	7.5	7.486388384754991
war	Waray-Waray	2204	164	7.4	7.441016333938294
jje	Jeju	2204	163	7.4	7.395644283121597
ks	Kashmiri	2204	159	7.2	7.214156079854809
uga	Ugaritic	2204	159	7.2	7.214156079854809
fj	Fijian	2204	158	7.2	7.168784029038113
li	Limburgish	2204	157	7.1	7.123411978221416
xh	Xhosa	2204	156	7.1	7.078039927404719
mdf	Moksha	2204	155	7.0	7.032667876588022
cop	Coptic	2204	154	7.0	6.987295825771325
mhr	Eastern Mari	2204	154	7.0	6.987295825771325
ty	Tahitian	2204	152	6.9	6.896551724137931
yua	Yucatec Maya	2204	150	6.8	6.805807622504537
pa	Gurmukhi	2204	145	6.6	6.578947368421052
dz	Dzongkha	2204	145	6.6	6.578947368421052
krc	Karachay-Balkar	2204	144	6.5	6.533575317604356
krl	Karelian	2204	141	6.4	6.397459165154265
wym	Vilamovian	2204	139	6.3	6.306715063520871
xdq	Kaitag	2204	136	6.2	6.170598911070781
stq	Saterland Frisian	2204	135	6.1	6.125226860254084
yai	Yaghnobi	2204	135	6.1	6.125226860254084
syc	Classical Syriac	2204	134	6.1	6.0798548094373865
xmf	Mingrelian	2204	134	6.1	6.0798548094373865
vro	Võro	2204	129	5.9	5.852994555353902
gag	Gagauz	2204	124	5.6	5.626134301270417
koi	Komi-Permyak	2204	120	5.4	5.44464609800363
tly	Talysh	2204	118	5.4	5.353901996370236
iu	Inuktitut	2204	116	5.3	5.2631578947368425
gan	Gan	2204	115	5.2	5.217785843920145
pox	Polabian	2204	114	5.2	5.172413793103448
hsn	Xiang	2204	113	5.1	5.127041742286751
cjy	Jin	2204	113	5.1	5.127041742286751
